a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.7-4
acpid 2.0.34-2
acpid-openrc 20210506-1
ada 2.9.0-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
aegisub 3.3.3-10
akonadi-contacts 24.08.1-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.12-1
alsa-plugins 1:1.2.12-3
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
amd-ucode 20240909.552ed9b8-1
aom 3.10.0-1
appstream 1.0.3-1
apr 1.7.5-3
apr-util 1.6.3-2
archlinux-keyring 20240709-2
archlinux-mirrorlist 20240717-1.1
argon2 20190702-6
artix-archlinux-support 4-1
artix-backgrounds 2024.07-1
artix-branding-base 20240823-1
artix-community-presets 20240803-1
artix-dark-theme 20240803-1
artix-desktop-presets 20240804-1
artix-grub-theme 2024.07-1
artix-gtk-presets 20240803-1
artix-icons 2024.07-1
artix-keyring 20240425-2
artix-mirrorlist 20240724-1
artix-qt-presets 20240804-1
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
atril 1.28.0-3
attica 6.6.0-1
attr 2.5.2-1
audit 4.0.2-2
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2.1
avahi-openrc 20210505-2
ayatana-ido 0.10.2-1
b43-fwcutter 019-5
babl 0.1.108-1
base 3-5
base-devel 1-2
bash 5.2.032-2
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8.1
blas 3.12.0-5
blueman 2.4.3-1.5
bluez 5.78-1
bluez-libs 5.78-1
bluez-openrc 20210506-1
bluez-utils 5.78-1
boost-libs 1.86.0-3
botan2 2.19.5-1
brasero 3.12.3+r36+g5cdefa8c-1
breeze-gtk 6.1.5-1
breeze-icons 6.6.0-1
brotli 1.1.0-2
btrfs-progs 6.10.1-2
bubblewrap 0.10.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.104-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.2-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
caja 1.28.0-2
caja-extensions-common 1.28.0-2.1
caja-image-converter 1.28.0-2.1
caja-open-terminal 1.28.0-2.1
caja-sendto 1.28.0-2.1
caja-wallpaper 1.28.0-2.1
caja-xattr-tags 1.28.0-2.1
cantarell-fonts 1:0.303.1-2
cblas 3.12.0-5
cdparanoia 10.2-9
cdrdao 1.2.5-7
cdrtools 3.02a09-6
chafa 1.14.2-2
chromaprint 1.5.1-8
cifs-utils 7.0-5
claws-mail 4.3.0-2
clucene 2.3.3.4-15
colord 1.4.7-2
compface 1.5.2-12
confuse 3.3-4
connman 1.43-1
connman-gtk 1.1.1-3
connman-openrc 20210506-1
convertlit 1.8-12
coreutils 9.5-2
cpupower 6.10-2
cronie 1.7.2-1
cronie-openrc 20210505-2
cryptsetup 2.7.5-1
cryptsetup-openrc 20240225-1
ctpl 0.3.5-1
cups 2:2.4.10-1
cups-filters 2.0.1-1
cups-openrc 20210505-2
curl 8.10.1-1
cvs 1.11.23-15
dav1d 1.4.3-1
db 6.2.32-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-glib 0.112-4
dbus-openrc 20210418-2
dconf 0.40.0-3
dconf-editor 45.0.1-1
debugedit 5.0-6
default-cursors 3-1
desktop-file-utils 0.27-1
device-mapper 2.03.26-1
device-mapper-openrc 20210505-1
dhclient 4.4.3.P1-3
dhcpcd 10.0.10-1
dhcpcd-openrc 20210505-1
diffutils 3.10-1
digikam 8.4.0-2.1
ding-libs 0.6.2-2
djvulibre 3.5.28-6
dmraid 1.0.0.rc16.3-15
dosbox 0.74.3-3
dosfstools 4.2-5
double-conversion 3.3.0-2
duktape 2.7.0-7
dvd+rw-tools 7.1-11
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-8
ecryptfs-utils 111-9
efibootmgr 18-3
efivar 39-1
elementary-icon-theme 8.0.0-1.2
elfutils 0.191-4
elogind 255.5-1
elogind-openrc 20210704-1
enchant 2.8.2-1
engrampa 1.28.2-2
eom 1.28.0-2
epiphany 47.0-1
esysusers 256.1-1
etmpfiles 256.1-1
exaile 4.1.2-1
exempi 2.6.5-1
exfatprogs 1.2.5-1
exiv2 0.28.3-1
exo 4.18.0-3
expat 2.6.3-2
ext4magic 0.3.2-5.1
extundelete 0.2.4-2.1
f2fs-tools 1.16.0-3
faac 1.30-5
faad2 2.11.1-1
fakeroot 1.36-1
fastfetch 2.23.0-1
ffmpeg 2:7.0.2-3
ffmpegthumbnailer 2.2.3-2
ffmpegthumbs 24.08.1-1
ffms2 5.0-1
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1.1
findutils 4.10.0-2
firefox 130.0.1-1
firefox-adblock-plus 4.7-1
firefox-dark-reader 4.9.94-1
firefox-noscript 11.4.37-1
firefox-ublock-origin 1.60.0-1
flac 1.4.3-2
flex 2.6.4-5
fltk 1.3.9-1
fluidsynth 2.3.6-1
fmt 11.0.2-1
fontconfig 2:2.15.0-2
fortune-mod 3.20.0-2
frameworkintegration 6.6.0-1
freeglut 3.6.0-1
freetype2 2.13.3-1
frei0r-plugins 2.3.3-2.1
fribidi 1.0.15-1
fs-uae 3.1.66-3
fs-uae-launcher 3.1.68-4
ftgl 2.4.0-3
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
gamescope 3.15.5-1
garcon 4.18.2-2
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-1
gcc-libs 14.2.1+r134+gab884fffe3fc-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdbm 1.24-1
gdk-pixbuf2 2.42.12-1
geany 2.0-1
geany-plugins 2.0-3
gegl 0.4.48-4
geoclue 2.7.2-1
gettext 0.22.5-2
ghostscript 10.04.0-1
giflib 5.2.2-1
gimp 2.10.38-4
git 2.46.2-1
glew 2.2.0-7
glib-networking 1:2.80.0-3
glib2 2.82.1-1
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glm 1.0.1-1
glslang 14.3.0-1
glu 9.0.3-2
glyr 1.0.10-6
gmp 6.3.0-2
gnome-desktop 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnupg 2.4.5-5
gnutls 3.8.7-1
gobject-introspection-runtime 1.82.0-1
gperftools 2.15-1
gpgme 1.23.2-6.2
gpm 1.20.7.r38.ge82d1a6-6
grantleetheme 24.08.1-1
graphene 1.10.8-1
graphicsmagick 1.3.45-3
graphite 1:1.3.14-4
grep 3.11-1
groff 1.23.0-7
grub 2:2.12-3.1
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsl 2.8-1
gsm 1.0.22-2
gspell 1.14.0-1
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-libav 1.24.8-1
gst-plugins-bad 1.24.8-1
gst-plugins-bad-libs 1.24.8-1
gst-plugins-base 1.24.8-1
gst-plugins-base-libs 1.24.8-1
gst-plugins-good 1.24.8-1
gst-plugins-ugly 1.24.8-1
gst-python 1.24.8-1
gstreamer 1.24.8-1
gstreamermm 1.10.0-2
gtest 1.15.2-1
gtk-engine-murrine 0.98.2-4.1
gtk-engines 2.21.0-6
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.2-1
gtk2 2.24.33-5
gtk3 1:3.24.43-3
gtk4 1:4.16.2-1
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
gtkspell3 3.0.10-3
gufw 24.04-2
guile 3.0.10-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
guvcview 2.1.0-4
guvcview-common 2.1.0-4
gvfs 1.56.0-1
gvfs-afc 1.56.0-1
gvfs-goa 1.56.0-1
gvfs-google 1.56.0-1
gvfs-gphoto2 1.56.0-1
gvfs-mtp 1.56.0-1
gvfs-smb 1.56.0-1
gzip 1.13-4
handbrake 1.8.2-1
harfbuzz 9.0.0-1
harfbuzz-icu 9.0.0-1
haveged 1.9.18-2
haveged-openrc 20210505-2
hddtemp 0.3.beta15.53-4
hdparm 9.65-2
hexchat 2.16.2-3
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
http-parser 2.9.4-2
hunspell 1.7.2-2
hunspell-en_us 2020.12.07-5
hwdata 0.387-1
hwloc 2.11.1-1
hyphen 2.8.8-6
iana-etc 20240814-1
icu 75.1-1
ijs 0.35-6
imagemagick 7.1.1.38-3
imath 3.1.12-1
imlib2 1.12.3-2
inetutils 2.5-1
inkscape 1.3.2-12
intel-ucode 20240910-1
inxi 3.3.35.1-1
iproute2 6.11.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
iw 6.9-1
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.4-1
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-8
jfsutils 1.1.15-9
jre-openjdk 22.0.2.u9-1
json-c 0.18-1
json-glib 1.10.0-1
kaccounts-integration 24.08.1-1
karchive 6.6.0-1
karchive5 5.116.0-1
kauth 6.6.0-1
kauth5 5.116.0-1
kbd 2.6.4-3
kbookmarks 6.6.0-1
kbookmarks5 5.116.0-1
kcalendarcore 6.6.0-1
kcmutils 6.6.0-1
kcodecs 6.6.0-1
kcodecs5 5.116.0-1
kcolorscheme 6.6.0-1
kcompletion 6.6.0-1
kcompletion5 5.116.0-1
kconfig 6.6.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.6.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.6.0-1
kcoreaddons 6.6.0-1
kcoreaddons5 5.116.0-1
kcrash 6.6.0-1
kcrash5 5.116.0-1
kdbusaddons 6.6.0-1
kdbusaddons5 5.116.0-1
kdecoration 6.1.5-1
kded5 5.116.0-1
kdenlive 24.08.1-2
kdnssd5 5.116.0-1
kexec-tools 2.0.29-2
